HTB,GUADELOUPE,TERRE-DE-BAS
HTF,UNITED KINGDOM,HATFIELD
HTG,RUSSIAN FEDERATION,HATANGA
HTH,UNITED STATES,HAWTHORNE
HTI,AUSTRALIA,HAMILTON ISLAND
HTL,UNITED STATES,ROSCOMMON COUNTY
HTM,MONGOLIA,KHATGAL
HTN,CHINA,HOTAN
HTO,UNITED STATES,EAST HAMPTON
HTR,JAPAN,HATERUMA
HTS,UNITED STATES,TRI-STATE/MILTON
HTU,AUSTRALIA,HOPETOUN
HTW,UNITED STATES,LAWRENCE COUNTY AIRPARK
HTZ,COLOMBIA,HATO COROZAL
HUA,UNITED STATES,REDSTONE AAF
HUB,AUSTRALIA,HUMBERT RIVER
HUC,PUERTO RICO,HUMACAO ARPT
HUD,UNITED STATES,HUMBOLDT
HUE,ETHIOPIA,HUMERA
HUF,UNITED STATES,HULMAN FIELD
HUG,GUATEMALA,HUEHUETENANGO
HUH,FRENCH POLYNESIA,HUAHINE
HUI,VIET NAM,PHU BAI
HUJ,UNITED STATES,HUGO
HUK,BOTSWANA,HUKUNTSI
HUL,UNITED STATES,INTERNATIONAL
HUM,UNITED STATES,TERREBONNE
HUN,TAIWAN,HUALIEN
HUQ,LIBYA,HOUN
HUS,UNITED STATES,MUNICIPAL
HUT,UNITED STATES,HUTCHINSON
HUU,PERU,HUANUCO
HUV,SWEDEN,HUDIKSVALL
HUX,MEXICO,HUATULCO
HUY,UNITED KINGDOM,HUMBERSIDE INTERNATIONAL
HUZ,CHINA,HUIZHOU
HVA,MADAGASCAR,ANALALAVA
HVB,AUSTRALIA,HERVEY BAY
HVD,MONGOLIA,KHOVD
HVE,UNITED STATES,INTERMEDIATE
HVG,NORWAY,VALAN
HVK,ICELAND,HOLMAVIK
HVM,ICELAND,HVAMMSTANGI
HVN,UNITED STATES,NEW HAVEN
HVR,UNITED STATES,CITY COUNTY
HVS,UNITED STATES,MUNICIPAL
HWA,PAPUA NEW GUINEA,HAWABANGO
HWD,UNITED STATES,AIR TERMINAL
HWI,UNITED STATES,SPB
HWK,AUSTRALIA,WILPENA POUND
HWN,ZIMBABWE,HWANGE NAT PARK
HWO,UNITED STATES,NORTH PERRY
HXX,AUSTRALIA,HAY
HYA,UNITED STATES,BARNSTABLE
HYC,UNITED KINGDOM,HIGH WYCOMBE
HYD,INDIA,CHENNAI AIRPORT
HYF,PAPUA NEW GUINEA,HAYFIELDS
HYG,UNITED STATES,SPB
HYL,UNITED STATES,SPB
HYN,CHINA,HUANGYAN
HYR,UNITED STATES,MUNICIPAL
HYS,UNITED STATES,MUNICIPAL
HYV,FINLAND,HYVINKAA
HZB,FRANCE,MERVILLE/CALONNE
HZG,CHINA,HANZHONG
HZH,CHINA,LIPING
HZK,ICELAND,HUSAVIK
HZL,UNITED STATES,HAZLETON
HZV,SOUTH AFRICA,HAZYVIEW
IAA,RUSSIAN FEDERATION,IGARKA
IAB,UNITED STATES,MCCONNELL AFB
IAD,UNITED STATES,WASHINGTON DULLES INTERNATIONAL
IAG,UNITED STATES,INTERNATIONAL
IAH,UNITED STATES,GEORGE BUSH INTERCONTINENTAL
IAM,ALGERIA,IN AMENAS
IAN,UNITED STATES,BOB BARKER MEMORIAL
IAQ,IRAN,BAHREGAN
IAR,RUSSIAN FEDERATION,YAROSLAVL
IAS,ROMANIA,IASI
IAU,PAPUA NEW GUINEA,IAURA
IBA,NIGERIA,IBADAN
IBE,COLOMBIA,IBAGUE
IBI,PAPUA NEW GUINEA,IBOKI
IBL,MOZAMBIQUE,INDIGO BAY LODGE
IBO,MOZAMBIQUE,IBO
IBP,PERU,IBERIA
IBZ,SPAIN,IBIZA
ICA,VENEZUELA,ICABARU
ICI,FIJI,CICIA
ICK,SURINAME,NIEUW NICKERIE
ICL,UNITED STATES,MUNICIPAL
ICN,KOREA (SOUTH),INCHEON INTERNATIONAL
ICO,PHILIPPINES,SICOGON ISLAND
ICT,UNITED STATES,MID-CONTINENT
ICY,UNITED STATES,ICY BAY
IDA,UNITED STATES,FANNING FIELD
IDB,SWEDEN,IDRE
IDC,MOZAMBIQUE,ILA DA CHILONZUENE
IDF,ZAIRE,IDIOFA
IDG,UNITED STATES,MUNICIPAL
IDI,UNITED STATES,NDIANA COUNTY AIRPORT (JIMMY STEWART FIE
IDK,AUSTRALIA,INDULKANA
IDN,PAPUA NEW GUINEA,INDAGEN
IDO,BRAZIL,RIO
IDP,UNITED STATES,INDEPENDENCE
IDR,INDIA,DEVI AHILYABAI HOLKAR
IEG,POLAND,BABIMOST
IEJ,JAPAN,IEJIMA
IES,GERMANY,RIESA
IEV,UKRAINE,ZHULHANY
IFA,UNITED STATES,IOWA FALLS
IFF,AUSTRALIA,IFFLEY
IFH,IRAN,HESA
IFJ,ICELAND,ISAFJORDUR
IFL,AUSTRALIA,INNISFAIL
IFN,IRAN,ISFAHAN INTERNATIONAL
IFO,UKRAINE,IVANO-FRANKOVSK
IFP,UNITED STATES,LAUGHLIN BULLHEAD INTL
IGA,BAHAMAS,INAGUA
IGB,ARGENTINA,INGENIERO JACOBACCI
IGE,GABON,IGUELA
IGG,UNITED STATES,IGIUGIG
IGH,AUSTRALIA,INGHAM
IGL,TURKEY,CIGLI MILITARY ARPT
IGM,UNITED STATES,KINGMAN
IGN,PHILIPPINES,MARIA CRISTINA
IGO,COLOMBIA,CHIGORODO
IGR,ARGENTINA,CATARATAS
IGS,GERMANY,INGOLSTADT-MANCHING
IGU,BRAZIL,CATARATAS
IHA,JAPAN,NIIHAMA
IHC,MOZAMBIQUE,INHACA
IHN,YEMEN,QISHN
IHO,MADAGASCAR,IHOSY
IHR,IRAN,IRAN SHAHR
IHU,PAPUA NEW GUINEA,IHU
IIA,IRELAND,INISHMAAN
IIL,IRAN,ILAAM
IIN,JAPAN,NISHINOOMOTE
IIS,PAPUA NEW GUINEA,NISSAN ISLAND
IJK,RUSSIAN FEDERATION,IZHEVSK
IJU,BRAZIL,J. BATISTA BOS FILHO AIRPORT
IJX,UNITED STATES,MUNICIPAL
IKB,UNITED STATES,WILKES COUNTY
IKI,JAPAN,IKI
IKK,UNITED STATES,GREATER KANKAKEE
IKL,DEMOCRATIC REPUBLIC OF CONGO (,IKELA
IKO,UNITED STATES,NIKOLSKI AFS
IKP,AUSTRALIA,INKERMAN
IKS,RUSSIAN FEDERATION,TIKSI
IKT,RUSSIAN FEDERATION,IRKUTSK
ILA,INDONESIA,ILLAGA
ILB,BRAZIL,ILHA SOLTEIRA
ILE,UNITED STATES,MUNICIPAL
ILF,CANADA,ILFORD
ILG,UNITED STATES,GREATER WILMINGTON
ILH,GERMANY,ILLIS AIRBASE
ILI,UNITED STATES,ILIAMNA
ILK,MADAGASCAR,ILAKA
ILL,UNITED STATES,WILLMAR
ILM,UNITED STATES,WILMINGTON INTERNATIONAL
ILN,UNITED STATES,CLINTON FIELD
ILO,PHILIPPINES,ILOILO INTERNATIONAL
ILP,NEW CALEDONIA,ILE DES PINS
ILQ,PERU,ILO
ILR,NIGERIA,ILORIN
ILU,KENYA,KILAGUNI
ILX,PAPUA NEW GUINEA,ILEG
ILY,UNITED KINGDOM,GLENEGEDALE
ILZ,SLOVAK REPUBLIC,ZILINA
IMA,PAPUA NEW GUINEA,IAMALELE
IMB,GUYANA,IMBAIMADAI
IMD,PAPUA NEW GUINEA,IMONDA
IMF,INDIA,MUNICIPAL
IMG,MOZAMBIQUE,INHAMINGA
IMI,MARSHALL ISLANDS,INE ISLAND
IMK,NEPAL,SIMIKOT
IML,UNITED STATES,IMPERIAL
IMM,UNITED STATES,IMMOKALEE
IMN,PAPUA NEW GUINEA,IMANE
IMO,CENTRAL AFRICAN REPUBLIC,ZEMIO
IMP,BRAZIL,IMPERATRIZ
IMT,UNITED STATES,FORD
IMZ,AFGHANISTAN,NIMROZ
INA,RUSSIAN FEDERATION,INTA
INB,BELIZE,INDEPENDENCE
INC,CHINA,YINCHUAN
IND,UNITED STATES,INDIANAPOLIS INTERNATIONAL
INE,MOZAMBIQUE,CHINDE
ING,ARGENTINA,LAGO ARGENTINO
INH,MOZAMBIQUE,INHAMBANE
INI,SERBIA,CONSTANTINE THE GREAT INTERNATIONAL
INJ,AUSTRALIA,INJUNE
INK,UNITED STATES,WINK
INL,UNITED STATES,FALLS INTL
INM,AUSTRALIA,INNAMINCKA
INN,AUSTRIA,INNSBRUCK-KRANEBITTEN
INO,DEMOCRATIC REPUBLIC OF CONGO (,INONGO
INQ,IRELAND,INISHEER
INR,UNITED STATES,KINCHELOE AFB
INS,UNITED STATES,AF AUX
INT,UNITED STATES,SMITH-REYNOLDS
INU,NAURU,NAURU INTERNATIONAL
INV,UNITED KINGDOM,INVERNESS
INW,UNITED STATES,WINSLOW-LINDBERGH
INX,INDONESIA,INANWATAN
INY,SOUTH AFRICA,INYATI
INZ,ALGERIA,IN SALAH
IOA,GREECE,IOANNINA
IOK,PAPUA NEW GUINEA,IOKEA
IOM,UNITED KINGDOM,RONALDSWAY
ION,CONGO,IMPFONDO
IOP,PAPUA NEW GUINEA,IOMA
IOR,IRELAND,KILRONAN
IOS,BRAZIL,EDUARDO GOMES
IOU,NEW CALEDONIA,ILE OUEN
IOW,UNITED STATES,IOWA CITY
IPA,VANUATU,IPOTA
IPC,CHILE,MATAVERI INTL
IPE,PHILIPPINES,IPIL
IPG,BRAZIL,IPIRANGA
IPH,MALAYSIA,SULTAN AZLAN SHAH AIRPORT
IPI,COLOMBIA,SAN LUIS
IPL,UNITED STATES,IMPERIAL COUNTY
IPN,BRAZIL,USIMINAS
IPT,UNITED STATES,LYCOMING COUNTY
IPU,BRAZIL,IPIAU
IPW,UNITED KINGDOM,IPSWICH (CLOSED)
IQM,CHINA,QIEMO
IQN,CHINA,QINGYANG
IQQ,CHILE,CAVANCHA
IQT,PERU,C.F. SECADA
IRA,SOLOMON ISLANDS,KIRAKIRA
IRB,UNITED STATES,MUNICIPAL
IRC,UNITED STATES,CIRCLE CITY
IRD,BANGLADESH,ISHURDI
IRE,BRAZIL,IRECE
IRG,AUSTRALIA,LOCKHART RIVER
IRI,TANZANIA,NDULI
IRJ,ARGENTINA,CAPITAN VICENTE ALMANDO
IRK,UNITED STATES,MUNICIPAL
IRN,HONDURAS,IRIONA
IRO,CENTRAL AFRICAN REPUBLIC,BIRAO
IRP,ZAIRE,MATARI
IRS,UNITED STATES,KIRSCH MUNICIPAL
ISA,AUSTRALIA,MOUNT ISA
ISB,PAKISTAN,ISLAMABAD INTERNATIONAL
ISC,UNITED KINGDOM,ST MARYS
ISD,COLOMBIA,ISCUANDE
ISE,TURKEY,ISPARTA
ISG,JAPAN,ISHIGAKI
ISH,ITALY,ISCHIA
ISI,AUSTRALIA,ISISFORD
ISJ,MEXICO,ISLA MUJERES
ISK,INDIA,GANDHINAGAR ARPT
ISL,UNITED STATES,ISABEL PASS
ISM,UNITED STATES,KISSIMMEE GATEWAY
ISN,UNITED STATES,SLOULIN FIELD INTL
ISO,UNITED STATES,STALLINGS FIELD
ISP,UNITED STATES,LONG ISLAND MAC ARTHUR
ISQ,UNITED STATES,SCHOOLCRAFT COUNTY
ISS,UNITED STATES,WISCASSET
IST,TURKEY,ATATURK
ISW,UNITED STATES,ALEXANDER FIELD
ISZ,UNITED STATES,CINCINNATI-BLUE ASH AIRPORT
ITA,BRAZIL,ITACOATIARA
ITB,BRAZIL,ITAITUBA
ITE,BRAZIL,ITUBERA
ITH,UNITED STATES,TOMPKINS COUNTY
ITI,BRAZIL,ITAMBACURI
ITK,PAPUA NEW GUINEA,ITOKAMA
ITM,JAPAN,ITAMI
ITN,BRAZIL,ITABUNA
ITO,UNITED STATES,HILO INTERNATIONAL
ITP,BRAZIL,ITAPERUNA
ITQ,BRAZIL,ITAQUI
ITR,BRAZIL,HIDROELETRICA
IUE,NIUE,HANAN
IUL,INDONESIA,ILU
IUM,CANADA,SUMMIT LAKE
IUS,PAPUA NEW GUINEA,INUS
IVA,MADAGASCAR,AMBANJA
IVC,NEW ZEALAND (AOTEAROA),INVERCARGILL
IVG,MONTENEGRO,IVANGRAD
IVH,UNITED STATES,IVISHAK
IVL,FINLAND,IVALO
IVO,COLOMBIA,CHIVOLO
IVR,AUSTRALIA,INVERELL
IVW,AUSTRALIA,INVERWAY
IWA,RUSSIAN FEDERATION,IVANOVA
IWD,UNITED STATES,GOGEBIC COUNTY
IWJ,JAPAN,IWAMI
IWO,JAPAN,IWO JIMA AIRBASE
IWS,UNITED STATES,WEST HOUSTON
IXA,INDIA,SINGERBHIL
IXB,INDIA,BAGDOGRA
IXC,INDIA,CHANDIGARH
IXD,INDIA,BAMRAULI
IXE,INDIA,BAJPE
IXG,INDIA,SAMBRE
IXH,INDIA,KAILASHAHAR
IXI,INDIA,LILABARI
IXJ,INDIA,SATWARI
IXK,INDIA,KESHOD
IXL,INDIA,BAKULA RIMPOCHE
IXM,INDIA,MADURAI
IXN,INDIA,KHOWAI
IXP,INDIA,PATHANKOT
IXQ,INDIA,KAMALPUR
IXR,INDIA,BIRSA MUNDA INTERNATIONAL
IXS,INDIA,KUMBHIRGRAM
IXT,INDIA,PASIGHAT
IXU,INDIA,CHIKKALTHANA
IXV,INDIA,ALONG
IXW,INDIA,SONARI
IXY,INDIA,KANDLA
IXZ,INDIA,PORT BLAIR
IYK,UNITED STATES,KERN COUNTY
IZO,JAPAN,IZUMO
IZT,MEXICO,IXTEPEC
JAA,AFGHANISTAN,JALALABAD
JAB,AUSTRALIA,JABIRU
JAC,UNITED STATES,JACKSON HOLE
JAD,AUSTRALIA,JANDAKOT
JAE,UNITED STATES,TECHNOLOGY PARK
JAF,SRI LANKA,KANKESANTURAI
JAG,PAKISTAN,JACOBABAD
JAH,FRANCE,AGORA HELIPAD
JAI,INDIA,SANGANEER
JAJ,UNITED STATES,PERIMETER MALL
JAK,HAITI,JACMEL
JAL,MEXICO,JALAPA
JAM,BULGARIA,JAMBOL
JAN,UNITED STATES,JACKSON-EVERS
JAO,UNITED STATES,BEAVER RUIN
JAP,COSTA RICA,PUNTA RENES
JAQ,PAPUA NEW GUINEA,JACQUINOT BAY
JAR,UNITED STATES,JAHROM
JAS,UNITED STATES,COUNTY
JAT,MARSHALL ISLANDS,JABOT
JAU,PERU,JAUJA
JAV,GREENLAND,ILULISSAT
JAX,UNITED STATES,"JACKSONVILLE,"
JBC,UNITED STATES,BOSTON CITY HELIPORT
JBK,UNITED STATES,BERKELEY
JBP,UNITED STATES,COMMERCE BUS. PLAZA
JBR,UNITED STATES,JONESBORO
JBS,UNITED STATES,HACIENDA BUS.PARK H/P
JBT,UNITED STATES,CITY LANDING
JCA,FRANCE,CROISETTE HELIPORT
JCB,BRAZIL,JOACABA
JCC,UNITED STATES,CHINA BASIN HELIPORT
JCD,VIRGIN ISLANDS(U.S.),DOWNTOWN HELIPORT
JCE,UNITED STATES,CONVENTION CENTER H/P
JCH,GREENLAND,QASIGIANNGUIT
JCI,UNITED STATES,NEW CENTURY AIRCENTER AIRPORT
JCJ,KOREA (SOUTH),CHUJA HELIPORT
JCK,AUSTRALIA,JULIA CREEK
JCM,BRAZIL,JACOBINA
JCN,KOREA (SOUTH),HELIPORT
JCO,MALTA,HELIPORT
JCR,BRAZIL,JACAREACANGA
JCT,UNITED STATES,KIMBLE COUNTY
JCU,SPAIN,CEUTA HELIPORT
JCX,UNITED STATES,CITICORP PLAZA H/P
JCY,UNITED STATES,JOHNSON
JDA,UNITED STATES,JOHN DAY
JDB,UNITED STATES,DOWNTOWN HELIPORT
JDF,BRAZIL,FRANCISCO DE ASSIS
JDH,INDIA,JODHPUR
JDM,UNITED STATES,DOWNTOWN HELIPORT
JDN,UNITED STATES,JORDAN
JDO,BRAZIL,REGIONAL DO CARIRI
JDP,FRANCE,HELIPORT DE PARIS
JDT,UNITED STATES,DOWNTOWN HELIPORT
JDX,UNITED STATES,CENTRAL BUS. DISTRICT
JDY,UNITED STATES,HELIPORT
JDZ,CHINA,JINGDEZHEN
JED,SAUDI ARABIA,KING ABDULAZIZ INTERNATIONAL
JEE,HAITI,JEREMIE
JEF,UNITED STATES,MEMORIAL
JEG,GREENLAND,AASIAAT
JEJ,MARSHALL ISLANDS,JEH
JEM,UNITED STATES,HELIPORT
JEQ,BRAZIL,JEQUIE
JER,UNITED KINGDOM,JERSEY
JEV,FRANCE,HELIPORT
JFK,UNITED STATES,JOHN F KENNEDY INTL
JFM,AUSTRALIA,HELIPORT
JFN,UNITED STATES,ASHTABULA
JFR,GREENLAND,FREDERIKSHAB
JGA,INDIA,GOVARDHANPUR
JGB,INDIA,JAGDALPUR
JGC,UNITED STATES,HELIPORT
JGE,KOREA (SOUTH),HELIPORT
JGL,UNITED STATES,GALLERIA HELIPORT
JGN,CHINA,JIAYUGUAN
JGO,GREENLAND,QEQERTARSUAQ
JGP,UNITED STATES,GREENWAY PLAZA H/P
JGQ,UNITED STATES,TRANSCO TWR GALLERIA
JGR,GREENLAND,HELIPORT
JGS,CHINA,JI AN/JING GANG SHAN
JGX,UNITED STATES,HELIPORT
JHB,MALAYSIA,SULTAN ISMAIL INTL
JHC,UNITED STATES,ISLAND HELIPORT
JHE,SWEDEN,HELIPORT
JHG,CHINA,GASA
JHM,UNITED STATES,KAPALUA WEST MAUI
JHQ,AUSTRALIA,SHUTE HARBOUR H/P
JHS,GREENLAND,SISIMIUT
JHW,UNITED STATES,JAMESTOWN
JHY,UNITED STATES,HYATT REGENCY H/P
JIA,BRAZIL,JUINA
JIB,DJIBOUTI,AMBOULI
JID,UNITED STATES,CITY OF INDUSTRY H/P
JIJ,ETHIOPIA,JIGIGA
JIK,GREECE,IKARIA
JIL,CHINA,JILIN
JIM,ETHIOPIA,JIMMA
JIN,UGANDA,JINJA
JIO,UNITED STATES,INTL HELIPORT
JIP,ECUADOR,JIPIJAPA
JIR,NEPAL,JIRI
JIU,CHINA,JIUJIANG
JIW,PAKISTAN,JIWANI
JJI,PERU,JUANJUI
JJN,CHINA,JINJIANG
JJU,GREENLAND,HELIPORT
JKG,SWEDEN,AXAMO
JKH,GREECE,CHIOS
JKR,NEPAL,JANAKPUR
JKT,INDONESIA,SOEKARNO-HATTA INTL
JKV,UNITED STATES,CHEROKEE COUNTY
JLA,UNITED STATES,QUARTZ CREEK
JLB,UNITED STATES,HELIPORT
JLD,SWEDEN,HELIPORT
JLH,UNITED STATES,US ARMY HELIPORT
JLN,UNITED STATES,JOPLIN REGIONAL
JLO,ITALY,JESOLO
JLP,FRANCE,JUAN LES PINS
JLR,INDIA,JABALPUR
JLS,BRAZIL,JALES
JLX,UNITED STATES,UNION STATION H/P
JMA,UNITED STATES,MARRIOT ASTRODOME
JMB,ANGOLA,JAMBA
JMC,UNITED STATES,MARIN COUNTY
JMD,UNITED STATES,MARKET CENTRE H/P
JMH,UNITED STATES,MARRIOTT HELIPORT
JMK,GREECE,MIKONOS
JMM,SWEDEN,MALMO HARBOUR HELIPORT
JMN,UNITED STATES,MUNICIPAL HELIPORT
JMO,NEPAL,JOMSOM
JMS,UNITED STATES,JAMESTOWN
JMU,CHINA,JIAMUSI
JMY,SIERRA LEONE,MAMMY YOKO HELIPORT
JNA,BRAZIL,JANUARIA
JNB,SOUTH AFRICA,OLIVER REGINALD TAMBO INTERNATIONAL (JAN
JNG,CHINA,JINING
JNH,UNITED STATES,NORTH PARK INN H/P
JNI,ARGENTINA,JUNIN
JNN,GREENLAND,NANORTALIK
JNP,UNITED STATES,HELIPORT
JNS,GREENLAND,HELIPORT
JNU,UNITED STATES,BOUNDARY BAY
JNX,GREECE,NAXOS AIRPORT
JNZ,CHINA,JINZHOU
JOC,UNITED STATES,CENTERPORT HELIPORT
JOE,FINLAND,JOENSUU
JOG,INDONESIA,ADISUTJIPTO
JOH,SOUTH AFRICA,PORT SAINT JOHNS
JOI,BRAZIL,LAURO CARNEIRO DE LOYOLA
JOK,RUSSIAN FEDERATION,JOSHKAR-OLA
JOL,PHILIPPINES,JOLO
JOM,TANZANIA,NJOMBE
JON,US MINOR OUTLYING ISLANDS,JOHNSTON ISLAND
JOP,PAPUA NEW GUINEA,JOSEPHSTAAL
JOR,UNITED STATES,THE CITY HELIPORT
JOS,NIGERIA,JOS
JOT,UNITED STATES,MUNICIPAL
JPA,BRAZIL,CASTRO PINTO
JPD,UNITED STATES,HELIPORT
JPN,UNITED STATES,PENTAGON ARMY
JPR,BRAZIL,JI-PARANA
JPT,UNITED STATES,PARK TEN HELIPORT
JPU,FRANCE,LA DEFENSE HELIPORT
JQA,GREENLAND,QAARSUT
JQE,PANAMA,JAQUE
JRA,UNITED STATES,WEST 30TH ST HELIPORT
JRB,UNITED STATES,DOWNTOWN MANHATTAN H/P
JRC,UNITED STATES,MUNICIPAL HELIPORT
JRD,UNITED STATES,HELIPORT
JRE,UNITED STATES,EAST 60TH STREET H/P
JRH,INDIA,ROWRIAH
JRK,GREENLAND,ARSUK
JRN,BRAZIL,JURUENA
JRO,TANZANIA,KILIMANJARO
JRS,ISRAEL,JERUSALEM
JSA,INDIA,JAISALMER
JSD,UNITED STATES,SIKORSKY HELIPORT
JSG,UNITED STATES,SAN RAFAEL H/P
JSH,GREECE,SITIA
JSI,GREECE,SKIATHOS
JSK,UNITED STATES,MUNICIPAL HELIPORT
JSL,UNITED STATES,STEEL PIER HLPT
JSM,ARGENTINA,JOSE DE SAN MARTIN
JSN,UNITED STATES,SHERMAN OAKS H/P
JSO,SWEDEN,SODERTALJE HELIPORT
JSP,KOREA (SOUTH),SEOGWIPO HELIPORT
JSR,BANGLADESH,JESSORE
JSS,GREECE,SPETSAI ISLAND
JST,UNITED STATES,CAMBRIA COUNTY
JSU,GREENLAND,HELIPORT
JSY,GREECE,SYROS ISLAND
JTI,BRAZIL,JATAI
JTO,UNITED STATES,HELIPORT
JTR,GREECE,SANTORINI (THIRA)
JTY,GREECE,ASTYPALAIA
JUA,BRAZIL,JUARA
JUB,SUDAN,JUBA
JUC,UNITED STATES,UNIVERSAL CITY H/P
JUI,GERMANY,JUIST
JUJ,ARGENTINA,EL CADILLAL
JUL,PERU,JULIACA
JUM,NEPAL,JUMLA
JUN,AUSTRALIA,JUNDAH
JUO,COLOMBIA,JURADO
JUP,UNITED STATES,CABLE HELIPORT
JUR,AUSTRALIA,JURIEN BAY
JUT,HONDURAS,JUTICALPA
JUV,GREENLAND,HELIPORT
JUZ,CHINA,JUZHOU
JVA,MADAGASCAR,ANKAVANDRA
JVI,UNITED STATES,CENTRAL JERSEY REGIONAL AIRPORT
JVL,UNITED STATES,ROCK COUNTY
JWA,BOTSWANA,JWANENG
JWC,UNITED STATES,WARNER CNTR BUS. PLAZA
JWH,UNITED STATES,WESTCHASE HILTON H/P
JWL,UNITED STATES,WOODLAWNS
JWN,IRAN,ZANJAN
JXN,UNITED STATES,REYNOLDS MUNICIPAL
JYR,IRAN,JIROFT
JYV,FINLAND,JYVASKYLA
JZH,CHINA,JIU ZHAI HUANG LONG
KAA,ZAMBIA,KASAMA
KAB,ZIMBABWE,KARIBA
KAC,SYRIA,KAMESHLI
KAD,NIGERIA,KADUNA
KAE,UNITED STATES,SPB
KAF,PAPUA NEW GUINEA,KARATO
KAG,KOREA (SOUTH),GANGNEUNG
KAH,AUSTRALIA,CITY HELIPORT
KAI,GUYANA,KAIETEUR
KAJ,FINLAND,KAJAANI
KAK,PAPUA NEW GUINEA,KAR
KAL,UNITED STATES,KALTAG
KAM,YEMEN,KAMARAN IS
KAN,NIGERIA,AMINU KANO INTL APT
KAO,FINLAND,KUUSAMO
KAP,ZAIRE,KAPANGA
KAQ,PAPUA NEW GUINEA,KAMULAI
KAR,GUYANA,KAMARANG
KAS,NAMIBIA,KARASBURG
KAT,NEW ZEALAND (AOTEAROA),KAITAIA
KAU,FINLAND,KAUHAVA
KAV,VENEZUELA,KAVANAYEN
KAW,MYANMAR,KAWTHAUNG
KAX,AUSTRALIA,KALBARRI
KAY,FIJI,WAKAYA ISLAND
KAZ,INDONESIA,KAU
KBA,SIERRA LEONE,KABALA
KBB,AUSTRALIA,KIRKIMBIE
KBC,UNITED STATES,BIRCH CREEK
KBD,AUSTRALIA,KIMBERLEY DOWNS
KBE,UNITED STATES,HOT SPRINGS SPB
KBF,INDONESIA,KARUBAGA
KBG,UGANDA,KABALEGA FALLS
KBH,PAKISTAN,KALAT
KBI,CAMEROON,KRIBI
KBJ,AUSTRALIA,KINGS CANYON
KBK,UNITED STATES,KLAG BAY
KBL,AFGHANISTAN,KHWAJA RAWASH
KBM,PAPUA NEW GUINEA,KABWUM
KBN,ZAIRE,KABINDA
KBO,ZAIRE,KABALO
KBP,UKRAINE,BORISPOL
KBQ,MALAWI,KASUNGU
KBR,MALAYSIA,SULTAN ISMAIL PETRA
KBS,SIERRA LEONE,BO
KBT,MARSHALL ISLANDS,KABEN
KBU,INDONESIA,KOTABARU
KBV,THAILAND,KRABI
KBW,UNITED STATES,CHIGNIK BAY
KBX,INDONESIA,KAMBUAYA
KBY,AUSTRALIA,STREAKY BAY
KBZ,NEW ZEALAND (AOTEAROA),KAIKOURA
KCA,CHINA,KUQA
KCB,SURINAME,TEPOE AIRSTRIP
KCC,UNITED STATES,COFFMAN COVE SPB
KCD,INDONESIA,KAMUR
KCE,AUSTRALIA,COLLINSVILLE
KCF,PAKISTAN,KADANWARI
KCG,UNITED STATES,FISHERIES
KCH,MALAYSIA,KUCHING
KCI,INDONESIA,KON
KCJ,PAPUA NEW GUINEA,KOMAIO
KCK,UNITED STATES,FAIRFAX MUNICIPAL
KCL,UNITED STATES,LAGOON
KCM,TURKEY,KAHRAMANMARAS
KCN,UNITED STATES,SPB
KCO,TURKEY,CENGIZ TOPEL
KCP,UKRAINE,KAMENETS-PODOLSKIY
KCQ,UNITED STATES,CHIGNIK
KCR,UNITED STATES,COLORADO CREEK
KCS,AUSTRALIA,KINGS CREEK STATION
KCT,SRI LANKA,KOGGALA
KCU,UGANDA,MASINDI
KCZ,JAPAN,KOCHI
KDA,SENEGAL,KOLDA
KDB,AUSTRALIA,KAMBALDA
KDC,BENIN,KANDI
KDD,PAKISTAN,KHUZDAR
KDE,PAPUA NEW GUINEA,KOROBA
KDF,ALGERIA,KOUBA
KDG,BULGARIA,KARDJALI
KDH,AFGHANISTAN,KANDAHAR
KDI,INDONESIA,WOLTER MONGINSIDI
KDK,UNITED STATES,MUNICIPAL
KDL,ESTONIA,KARDLA
KDM,MALDIVES,KAADEDHDHOO
KDN,GABON,NDENDE
KDO,MALDIVES,KADHDHOO
KDP,PAPUA NEW GUINEA,KANDEP
KDQ,PAPUA NEW GUINEA,KAMBERATORO
KDR,PAPUA NEW GUINEA,KANDRIAN
KDS,AUSTRALIA,KAMARAN DOWNS
KDT,THAILAND,KAMPHANGSAEN
KDU,PAKISTAN,SKARDU
KDV,FIJI,KANDAVU
KDW,SRI LANKA,VIC. RESEVOUR KANDY
KDY,SRI LANKA,MAHAWELI
KDZ,SRI LANKA,POLGOLLA RESERVOIR
KEA,INDONESIA,KEISAH
KEB,UNITED STATES,NANWALEK
KEC,ZAIRE,KASENGA
KED,MAURITANIA,KAEDI
KEE,CONGO,KELLE
KEF,ICELAND,KEFLAVIK INTERNATIONAL
KEG,PAPUA NEW GUINEA,KEGLSUGL
KEH,UNITED STATES,KENMORE AIR HARBOR
KEI,INDONESIA,KEPI
KEJ,RUSSIAN FEDERATION,KEMEROVO
KEK,UNITED STATES,EKWOK
KEL,GERMANY,KIEL-HOLTENAU
KEM,FINLAND,KEMI/TORNIO
KEN,SIERRA LEONE,KENEMA
KEO,COTE D'IVOIRE (IVORY COAST),ODIENNE
KEP,NEPAL,NEPALGANJ
KEQ,INDONESIA,KEBAR
KER,IRAN,KERMAN
KES,CANADA,KELSEY
KET,MYANMAR,KENG TUNG
